city_ascii,lat,lng,country,division
P'yong-dong,39.25,125.85,"Korea, North",Asia
Springs,-26.2547,28.4428,South Africa,Africa
Ivano-Frankivsk,48.9228,24.7106,Ukraine,Europe
As Sib,23.6802,58.1825,Oman,Asia
Narayanganj,23.6167,90.5,Bangladesh,Asia
Maradi,13.4916,7.0964,Niger,Africa
Wuyishan,27.7562,118.0267,China,Asia
Sato,33.1631,129.7177,Japan,Asia
Amol,36.4669,52.3569,Iran,Asia
Quilmes,-34.7167,-58.2667,Argentina,Oceania
Mirpur Khas,25.5269,69.0111,Pakistan,Asia
Nizhnekamsk,55.6333,51.8167,Russia,Europe
Visalia,36.3276,-119.3269,United States,North America
Al Jubayl,27.0046,49.646,Saudi Arabia,Asia
Pathein,16.7667,94.7333,Myanmar,Asia
Secunderabad,17.45,78.5,India,Asia
Neya,34.7661,135.6281,Japan,Asia
Chishui,28.5902,105.6946,China,Asia
Centurion,-25.8603,28.1894,South Africa,Africa
Atlantic City,39.3797,-74.4527,United States,North America
Uluberiya,22.47,88.11,India,Asia
Shakhty,47.7,40.2333,Russia,Europe
Pakdasht,35.4817,51.6803,Iran,Asia
Granada,37.1781,-3.6008,Spain,Europe
Abha,18.2167,42.5,Saudi Arabia,Asia
Ibb,13.9759,44.1709,Yemen,Asia
Garoua,9.3,13.4,Cameroon,Africa
Bole,44.898,82.0726,China,Asia
Ganda,-13.0167,14.6333,Angola,Africa
Elche,38.2669,-0.6983,Spain,Europe
Najafabad,32.6342,51.3667,Iran,Asia
Bayamo,20.3817,-76.6428,Cuba,North America
Porbandar,21.6425,69.6047,India,Asia
Kamianske,48.5076,34.6132,Ukraine,Europe
Borujerd,33.8972,48.7514,Iran,Asia
Paradise,36.0807,-115.1369,United States,North America
Singaraja,-8.1152,115.0944,Indonesia,Asia
Macae,-22.3708,-41.7869,Brazil,Oceania
Miri,4.4147,114.0089,Malaysia,Asia
Machala,-3.2667,-79.9667,Ecuador,Oceania
Longquan,28.0733,119.1277,China,Asia
Monclova,26.9103,-101.4222,Mexico,North America
Puducherry,11.93,79.83,India,Asia
Olongapo,14.8333,120.2833,Philippines,Asia
Messina,38.1936,15.5542,Italy,Europe
Kremenchuk,49.0775,33.4239,Ukraine,Europe
Nashua,42.7491,-71.491,United States,North America
Santarem,-2.4431,-54.7083,Brazil,Oceania
Badalona,41.4333,2.2333,Spain,Europe
Okara,30.81,73.4597,Pakistan,Asia
Arlington,38.8786,-77.1011,United States,North America
Talisay,10.25,123.8333,Philippines,Asia
Hialeah,25.8696,-80.3046,United States,North America
Saidpur,25.8004,89,Bangladesh,Asia
York,39.9651,-76.7315,United States,North America
Saga,33.2667,130.3,Japan,Asia
Burnaby,49.2667,-122.9667,Canada,North America
Rancagua,-34.1654,-70.7398,Chile,Oceania
Dzerzhinsk,56.2333,43.45,Russia,Europe
Milton Keynes,52.04,-0.76,United Kingdom,Europe
Marilia,-22.2139,-49.9458,Brazil,Oceania
Bratsk,56.1667,101.6167,Russia,Europe
Jiayuguan,39.8112,98.2862,China,Asia
Indaiatuba,-23.0903,-47.2181,Brazil,Oceania
Envigado,6.1719,-75.5803,Colombia,Oceania
Freiburg im Breisgau,47.9947,7.8497,Germany,Europe
Eloy Alfaro,-2.1733,-79.8311,Ecuador,Oceania
Maracanau,-3.8769,-38.6258,Brazil,Oceania
Ageoshimo,35.9775,139.5933,Japan,Asia
Qarchak,35.4394,51.5689,Iran,Asia
Neuquen,-38.9573,-68.0455,Argentina,Oceania
Ibb,13.9667,44.1667,Yemen,Asia
Banfield,-34.75,-58.3833,Argentina,Oceania
Cabo Frio,-22.8789,-42.0189,Brazil,Oceania
Singkawang,0.9,108.9833,Indonesia,Asia
Orsk,51.2,58.6167,Russia,Europe
Vizianagaram,18.1167,83.4167,India,Asia
North Hempstead,40.7912,-73.6688,United States,North America
Evansville,37.9881,-87.5341,United States,North America
Cotia,-23.6039,-46.9189,Brazil,Oceania
Pali,25.7725,73.3233,India,Asia
Noginsk,64.4833,91.2333,Russia,Europe
Kropyvnytskyi,48.5103,32.2667,Ukraine,Europe
Czestochowa,50.8096,19.1222,Poland,Europe
Rondonopolis,-16.4708,-54.6358,Brazil,Oceania
Guantanamo,20.1383,-75.2061,Cuba,North America
Krefeld,51.3333,6.5667,Germany,Europe
Tanza,14.3944,120.8531,Philippines,Asia
Marilao,14.7581,120.9481,Philippines,Asia
Guadalupe,22.7528,-102.5078,Mexico,North America
Taito,35.7126,139.78,Japan,Asia
Kolpino,59.73,30.65,Russia,Europe
Burgas,42.5,27.4667,Bulgaria,Europe
Puerto Vallarta,20.6667,-105.2667,Mexico,North America
Avondale,33.3858,-112.3236,United States,North America
Nyala,12.05,24.8833,Sudan,Africa
Brownsville,25.998,-97.4565,United States,North America
Dasoguz,41.8167,59.9831,Turkmenistan,Asia
Turkistan,43.3,68.2436,Kazakhstan,Asia
Probolinggo,-7.75,113.2167,Indonesia,Asia
Jacarei,-23.305,-45.9658,Brazil,Oceania
Gusau,12.1704,6.66,Nigeria,Africa
Buenavista,19.6083,-99.1694,Mexico,North America
Quetzaltenango,14.8333,-91.5167,Guatemala,North America
Tarrasa,41.5611,2.0081,Spain,Europe
Araraquara,-21.7939,-48.1758,Brazil,Oceania
Angarsk,52.5667,103.9167,Russia,Europe
Sousse,35.8333,10.6333,Tunisia,Africa
Nagercoil,8.17,77.43,India,Asia
Heroica Nogales,31.3186,-110.9458,Mexico,North America
Apapa,6.4489,3.3589,Nigeria,Africa
Nyanza,-2.3496,29.74,Rwanda,Africa
Itapevi,-23.5489,-46.9342,Brazil,Oceania
Bac Lieu,9.2833,105.7167,Vietnam,Asia
Varamin,35.2714,51.6511,Iran,Asia
Padangsidempuan,1.3667,99.2667,Indonesia,Asia
Karnal,29.6804,76.97,India,Asia
Mubi,10.2686,13.267,Nigeria,Africa
Toamasina,-18.1492,49.4023,Madagascar,Africa
Campeche,19.85,-90.5306,Mexico,North America
Korolev,55.9167,37.8167,Russia,Europe
Dourados,-22.2208,-54.8058,Brazil,Oceania
Hunchun,42.8679,130.3585,China,Asia
Tampere,61.4981,23.7608,Finland,Europe
Minamiozuma,36.2404,137.97,Japan,Asia
Blagoveshchensk,50.2578,127.5364,Russia,Europe
Velikiy Novgorod,58.521,31.2758,Russia,Europe
Longjin,22.8711,113.0684,China,Asia
Ashdod,31.7978,34.6503,Israel,Asia
Carlos Manuel de Cespedes,21.5767,-78.2775,Cuba,North America
Nigde,37.9667,34.6792,Turkey,Asia
