city_ascii,lat,lng,division
Leona Vicario,20.9922,-87.2028,Quintana Roo
Becal,20.4414,-90.0275,Campeche
Xochitlan Todos Santos,18.7007,-97.7766,Puebla
San Antonino Castillo Velasco,16.8031,-96.6839,Oaxaca
Puerto San Carlos,24.7894,-112.1083,Baja California Sur
Tayoltita,24.0833,-105.9333,Durango
Teabo,20.3997,-89.2844,Yucatan
Piste,20.6981,-88.5886,Yucatan
Algodones,32.7153,-114.7289,Baja California
Guadalupe y Calvo,26.095,-106.9644,Chihuahua
Calderitas,18.5544,-88.2583,Quintana Roo
Panindicuaro,19.9828,-101.7606,Michoacan
Panaba,21.2964,-88.2706,Yucatan
Palo Alto,21.9167,-101.9667,Aguascalientes
Soledad Etla,17.1667,-96.8167,Oaxaca
Angostura,25.3653,-108.1622,Sinaloa
Nombre de Dios,23.85,-104.2333,Durango
Esperanza,27.58,-109.9298,Sonora
Frontera Corozal,16.8211,-90.8903,Chiapas
X-Can,20.8583,-87.6681,Yucatan
Chicxulub Puerto,21.2939,-89.6083,Yucatan
Ciudad Guzman,19.7,-103.4667,Jalisco
Tecax,20.2019,-89.2881,Yucatan
Taxco de Alarcon,18.5564,-99.605,Guerrero
San Jose del Cabo,23.0614,-109.7081,Baja California Sur
Santa Cruz Xoxocotlan,17.0264,-96.7333,Oaxaca
Teziutlan,19.8178,-97.3667,Puebla
Playas de Rosarito,32.35,-117.05,Baja California
Paraiso,18.3961,-93.2128,Tabasco
Santa Rosa Jauregui,20.7418,-100.4473,Queretaro
Guasavito,25.5655,-108.4718,Sinaloa
Tepeji del Rio de Ocampo,19.9039,-99.3414,Hidalgo
Patzcuaro,19.5164,-101.6097,Michoacan
Agua Prieta,31.3258,-109.5489,Sonora
Sahuayo de Morelos,20.0575,-102.7239,Michoacan
Temoaya,19.4686,-99.5933,Morelos
Villa Victoria,19.4333,-100,Estado de Mexico
Ciudad de Huajuapam de Leon,17.8039,-97.7758,Oaxaca
Valle Alto,25.5667,-100.25,Nuevo Leon
Ixmiquilpan,20.4861,-99.2589,Hidalgo
San Juan de los Lagos,21.2458,-102.3308,Jalisco
Purisima de Bustos,21.0333,-101.8667,Guanajuato
Zapotlanejo,20.6228,-103.0689,Jalisco
Tepotzotlan,19.7161,-99.2236,Estado de Mexico
Comonfort,20.7167,-100.7667,Guanajuato
Santa Catarina Otzolotepec,18.5667,-97.25,Puebla
Juventino Rosas,20.65,-101,Guanajuato
